"","seed","method","bias","rmse","coverage","n_images","n_annotators","male_prop_original","male_prop_biased"
"32",27,"Reweighted",0.0979035756495078,1.01890631398364,0.833333333333333,78,144,0.5,0.631944444444444
"33",30,"Unweighted",0.180396783471086,1.02875296845461,0.805555555555556,72,144,0.5,0.645833333333333
"34",30,"Reweighted",0.19393893402118,1.03961852536957,0.819444444444444,72,144,0.5,0.645833333333333
"35",31,"Unweighted",0.188194450054023,0.732449703914348,0.896103896103896,77,144,0.5,0.631944444444444
"36",31,"Reweighted",0.125615734461946,0.757045092626819,0.896103896103896,77,144,0.5,0.631944444444444
"37",32,"Unweighted",0.14234353176111,0.896787894808103,0.8625,80,144,0.5,0.673611111111111
"38",32,"Reweighted",0.146782325127861,0.927885838046928,0.85,80,144,0.5,0.673611111111111
"39",35,"Unweighted",0.0334366495367395,0.917241017252164,0.7875,80,144,0.5,0.673611111111111
"40",35,"Reweighted",-0.0563575949787622,0.942159500773538,0.8375,80,144,0.5,0.673611111111111
"41",36,"Unweighted",0.157056112550257,0.919590048826854,0.833333333333333,72,144,0.5,0.638888888888889
"42",36,"Reweighted",0.168558291428416,0.944511025262507,0.819444444444444,72,144,0.5,0.638888888888889
"43",37,"Unweighted",0.28364113065691,0.824754064877514,0.891891891891892,74,144,0.5,0.652777777777778
"44",37,"Reweighted",0.256563308050449,0.857952557904591,0.851351351351351,74,144,0.5,0.652777777777778
"45",39,"Unweighted",0.10838811025683,0.917956640612635,0.810810810810811,74,144,0.5,0.673611111111111
"46",39,"Reweighted",0.0511935364034392,0.921525064908349,0.837837837837838,74,144,0.5,0.673611111111111
"47",40,"Unweighted",-0.113415549621844,0.938168792462035,0.853333333333333,75,144,0.5,0.652777777777778
"48",40,"Reweighted",-0.181325427463115,0.951681710216265,0.84,75,144,0.5,0.652777777777778
"49",41,"Unweighted",0.00258299630592593,0.887349080941214,0.8,75,144,0.5,0.645833333333333
"50",41,"Reweighted",-0.0183522965004975,0.995753577601742,0.786666666666667,75,144,0.5,0.645833333333333
"51",42,"Unweighted",0.191497594176751,0.797444572237496,0.876712328767123,73,144,0.5,0.652777777777778
"52",42,"Reweighted",0.164655622542916,0.87088510274678,0.835616438356164,73,144,0.5,0.652777777777778
"53",43,"Unweighted",0.312359882838081,0.965500817287711,0.849315068493151,73,144,0.5,0.666666666666667
"54",43,"Reweighted",0.262855299681976,0.984579647942976,0.849315068493151,73,144,0.5,0.666666666666667
"55",44,"Unweighted",0.00352880190434565,0.807552253871385,0.896103896103896,77,144,0.5,0.666666666666667
"56",44,"Reweighted",-0.0217592676435055,0.836800822895564,0.909090909090909,77,144,0.5,0.666666666666667
"57",45,"Unweighted",0.219297695866231,0.860981498117186,0.786666666666667,75,144,0.5,0.638888888888889
"58",45,"Reweighted",0.187490119403674,0.928427504581947,0.786666666666667,75,144,0.5,0.638888888888889
"59",46,"Unweighted",-0.105873707770624,0.822673300884982,0.89873417721519,79,144,0.5,0.638888888888889
"60",46,"Reweighted",-0.159367425849961,0.828146466611242,0.911392405063291,79,144,0.5,0.638888888888889
