"","sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img"
"18",4544,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.07530276644727,"Male","nb_image_tidiness_d20",4,"Disorder","525276995158085_2"
"19",4544,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.07530276644727,"Male","nb_image_walksafety_day_d20",5,"Safety - Daytime Walking","525276995158085_2"
"20",4544,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.07530276644727,"Male","nb_image_walksafety_night_d20",5,"Safety - Nighttime Walking","525276995158085_2"
"21",4546,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","858191181779110_2.jpg",0.660039691100362,"Female","nb_image_wealth_rate_d20",7,"Neighborhood Wealth","858191181779110_2"
"22",4546,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","858191181779110_2.jpg",0.660039691100362,"Female","nb_image_hhinc_text_d20",50000,"Average Income","858191181779110_2"
"23",4546,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","858191181779110_2.jpg",0.660039691100362,"Female","nb_image_tidiness_d20",9,"Disorder","858191181779110_2"
"24",4546,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","858191181779110_2.jpg",0.660039691100362,"Female","nb_image_walksafety_day_d20",8,"Safety - Daytime Walking","858191181779110_2"
"25",4546,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/858191181779110_2.jpg","858191181779110_2.jpg",0.660039691100362,"Female","nb_image_walksafety_night_d20",4,"Safety - Nighttime Walking","858191181779110_2"
"26",4558,2,0,1,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","4015600011886298_1.jpg",0.421011475816679,"Female","nb_image_wealth_rate_d20",3,"Neighborhood Wealth","4015600011886298_1"
"27",4558,2,0,1,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","4015600011886298_1.jpg",0.421011475816679,"Female","nb_image_hhinc_text_d20",40000,"Average Income","4015600011886298_1"
"28",4558,2,0,1,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","4015600011886298_1.jpg",0.421011475816679,"Female","nb_image_tidiness_d20",5,"Disorder","4015600011886298_1"
"29",4558,2,0,1,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","4015600011886298_1.jpg",0.421011475816679,"Female","nb_image_walksafety_day_d20",6,"Safety - Daytime Walking","4015600011886298_1"
"30",4558,2,0,1,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/4015600011886298_1.jpg","4015600011886298_1.jpg",0.421011475816679,"Female","nb_image_walksafety_night_d20",3,"Safety - Nighttime Walking","4015600011886298_1"
