loss,mae,val_loss,val_mae
7.606542110443115,2.2403881549835205,5.706168174743652,1.980415940284729
4.932611465454102,1.8411340713500977,6.142901420593262,2.011131763458252
4.579240798950195,1.7546242475509644,5.935555458068848,2.031681776046753
4.740997314453125,1.7792134284973145,5.728638172149658,1.985520839691162
4.231450080871582,1.6914646625518799,5.243950843811035,1.8751564025878906
4.11849308013916,1.658302903175354,5.632262229919434,1.8935943841934204
3.8096423149108887,1.5862510204315186,5.156645774841309,1.8225202560424805
3.645928382873535,1.5518227815628052,5.6423563957214355,1.9305824041366577
3.5467371940612793,1.527593731880188,5.267055988311768,1.8252683877944946
3.401658296585083,1.490620493888855,5.3327717781066895,1.8567142486572266
3.153317928314209,1.4351969957351685,5.7252631187438965,1.9044841527938843
2.998033285140991,1.3882604837417603,5.4804205894470215,1.876442790031433
2.938446283340454,1.375068187713623,5.585755348205566,1.9180083274841309
2.767246723175049,1.326604962348938,5.5620646476745605,1.8797657489776611
2.7439703941345215,1.3072857856750488,5.852631092071533,1.9438714981079102
2.528754711151123,1.26236093044281,6.040388584136963,1.9550341367721558
2.417660713195801,1.233216404914856,5.90437650680542,1.950373888015747
2.278637647628784,1.1896679401397705,6.019125938415527,1.9489413499832153
2.253232955932617,1.1825921535491943,6.396719455718994,1.9977465867996216
2.1032121181488037,1.1329368352890015,6.705617427825928,2.0696628093719482
