bias,rmse,ece,alpha,delta,method
0.05057923575777936,0.17012498276551702,0.048913389868158776,0.5,0.72,Majority
0.05057923575777936,0.17012498276551702,0.048913389868158776,0.5,0.72,Weighted
0.05057923575777936,0.17012498276551702,0.048913389868158776,0.5,0.72,PLDL-Weighted
-0.013637276927508846,0.14497684754124085,0.029881222294556333,0.5,0.72,Majority
-0.013637276927508846,0.14497684754124085,0.029881222294556333,0.5,0.72,Weighted
-0.013637276927508846,0.14497684754124085,0.029881222294556333,0.5,0.72,PLDL-Weighted
0.018937894607408273,0.15087277355317572,0.02714478649135922,0.5,0.72,Majority
0.018937894607408273,0.15087277355317572,0.02714478649135922,0.5,0.72,Weighted
0.018937894607408273,0.15087277355317572,0.02714478649135922,0.5,0.72,PLDL-Weighted
0.019936105366618544,0.15789836339435165,0.03688851700026032,0.5,0.72,Majority
0.019936105366618544,0.15789836339435165,0.03688851700026032,0.5,0.72,Weighted
0.019936105366618544,0.15789836339435165,0.03688851700026032,0.5,0.72,PLDL-Weighted
0.01831565624150851,0.15392593910720304,0.033729013381333925,0.5,0.72,Majority
0.01831565624150851,0.15392593910720304,0.033729013381333925,0.5,0.72,Weighted
0.01831565624150851,0.15392593910720304,0.033729013381333925,0.5,0.72,PLDL-Weighted
0.01151199014599656,0.14687317531529612,0.03061798187697265,0.5,0.72,Majority
0.01151199014599656,0.14687317531529612,0.03061798187697265,0.5,0.72,Weighted
0.01151199014599656,0.14687317531529612,0.03061798187697265,0.5,0.72,PLDL-Weighted
-0.05779294590147154,0.17007392501998098,0.07055855178201365,0.5,0.72,Majority
-0.05779294590147154,0.17007392501998098,0.07055855178201365,0.5,0.72,Weighted
-0.05779294590147154,0.17007392501998098,0.07055855178201365,0.5,0.72,PLDL-Weighted
0.049706905250658726,0.16084572947898718,0.04697927239176383,0.5,0.72,Majority
0.049706905250658726,0.16084572947898718,0.04697927239176383,0.5,0.72,Weighted
0.049706905250658726,0.16084572947898718,0.04697927239176383,0.5,0.72,PLDL-Weighted
0.01900506752243266,0.14775933960591586,0.035199535558923994,0.5,0.72,Majority
0.01900506752243266,0.14775933960591586,0.035199535558923994,0.5,0.72,Weighted
0.01900506752243266,0.14775933960591586,0.035199535558923994,0.5,0.72,PLDL-Weighted
0.05279525219792577,0.1608048698367841,0.0469160040120692,0.5,0.72,Majority
0.05279525219792577,0.1608048698367841,0.0469160040120692,0.5,0.72,Weighted
0.05279525219792577,0.1608048698367841,0.0469160040120692,0.5,0.72,PLDL-Weighted
-0.01683989719748972,0.1503101731368083,0.03534905357853871,0.5,0.72,Majority
-0.01683989719748972,0.1503101731368083,0.03534905357853871,0.5,0.72,Weighted
-0.01683989719748972,0.1503101731368083,0.03534905357853871,0.5,0.72,PLDL-Weighted
-0.01726666288757405,0.1493633776235943,0.03519916312339632,0.5,0.72,Majority
-0.01726666288757405,0.1493633776235943,0.03519916312339632,0.5,0.72,Weighted
-0.01726666288757405,0.1493633776235943,0.03519916312339632,0.5,0.72,PLDL-Weighted
-0.026065901733191635,0.15603077346881933,0.047457451144643184,0.5,0.72,Majority
-0.026065901733191635,0.15603077346881933,0.047457451144643184,0.5,0.72,Weighted
-0.026065901733191635,0.15603077346881933,0.047457451144643184,0.5,0.72,PLDL-Weighted
-0.024247858006243808,0.1578184697454634,0.04461256292654035,0.5,0.72,Majority
-0.024247858006243808,0.1578184697454634,0.04461256292654035,0.5,0.72,Weighted
-0.024247858006243808,0.1578184697454634,0.04461256292654035,0.5,0.72,PLDL-Weighted
-0.054703700715992766,0.1665000023663535,0.0683355286968259,0.5,0.72,Majority
-0.054703700715992766,0.1665000023663535,0.0683355286968259,0.5,0.72,Weighted
